Date,Open,High,Low,Close,Adj Close,Volume
2019-09-19,10200.500977,9851.692383,10295.670898,10266.414063,10266.414063,0
2019-09-20,10266.318359,10132.184570,10285.875977,10181.640625,10181.640625,0
2019-09-23,10067.958984,9727.144531,10074.236328,9729.320313,9729.320313,0
2019-09-24,9729.320313,8370.799805,9804.315430,8620.563477,8620.563477,0
2019-09-25,8603.430664,8325.396484,8744.828125,8486.990234,8486.990234,0
2019-09-26,8487.666992,7895.632324,8515.682617,8118.965820,8118.965820,0
2019-09-27,8113.103027,7965.924805,8271.517578,8251.845703,8251.845703,0
2019-09-30,8104.227051,7830.761719,8314.231445,8293.868164,8293.868164,0
2019-10-01,8299.719727,8232.681641,8497.692383,8343.275391,8343.275391,0
2019-10-02,8344.215820,8227.696289,8393.042969,8393.042969,8393.042969,0
2019-10-03,8390.775391,8146.433594,8414.229492,8259.991211,8259.991211,0
2019-10-04,8259.493164,8151.235352,8260.052734,8205.936523,8205.936523,0
2019-10-07,7989.121582,7905.763184,8308.449219,8245.621094,8245.621094,0
2019-10-08,8246.851563,8185.764648,8332.714844,8228.779297,8228.779297,0
2019-10-09,8229.842773,8169.300293,8627.703125,8595.740234,8595.740234,0
2019-10-10,8585.283203,8471.934570,8625.270508,8586.476563,8586.476563,0
2019-10-11,8585.260742,8316.180664,8721.779297,8321.758789,8321.758789,0
2019-10-14,8320.831055,8284.132813,8390.211914,8374.683594,8374.683594,0
2019-10-15,8373.456055,8182.703125,8410.711914,8205.370117,8205.370117,0
2019-10-16,8204.677734,7985.089844,8216.812500,8047.525391,8047.525391,0
2019-10-17,8047.810059,8000.941406,8134.829590,8103.911621,8103.911621,0
2019-10-18,8100.931152,7902.164551,8138.411621,7973.209961,7973.209961,0
2019-10-21,8225.118164,8196.418945,8296.696289,8243.723633,8243.723633,0
2019-10-22,8243.404297,8074.465820,8296.648438,8078.203613,8078.203613,0
2019-10-23,8076.227051,7469.325684,8092.998047,7514.672363,7514.672363,0
2019-10-24,7509.728516,7446.986816,7532.866211,7493.488281,7493.488281,0
2019-10-25,7490.703613,7479.985352,8691.541016,8660.700195,8660.700195,0
2019-10-28,9565.103516,9256.148438,9805.113281,9256.148438,9256.148438,0
2019-10-29,9248.443359,9232.646484,9516.178711,9427.691406,9427.691406,0
2019-10-30,9422.459961,9085.367188,9426.874023,9205.729492,9205.729492,0
2019-10-31,9202.459961,9028.717773,9383.160156,9199.581055,9199.581055,0
2019-11-01,9193.990234,9132.044922,9275.654297,9261.102539,9261.102539,0
2019-11-04,9235.605469,9191.489258,9505.052734,9412.615234,9412.615234,0
2019-11-05,9413.004883,9256.927734,9457.418945,9342.529297,9342.529297,0
2019-11-06,9340.862305,9305.909180,9423.241211,9360.876953,9360.876953,0
2019-11-07,9352.393555,9202.349609,9368.479492,9267.556641,9267.556641,0
2019-11-08,9265.368164,8775.532227,9272.755859,8804.878906,8804.878906,0
2019-11-11,9056.920898,8700.608398,9081.283203,8757.787109,8757.787109,0
2019-11-12,8759.750977,8685.425781,8853.765625,8815.660156,8815.660156,0
2019-11-13,8812.032227,8761.654297,8836.841797,8808.259766,8808.259766,0
2019-11-14,8811.939453,8692.552734,8826.943359,8708.093750,8708.093750,0
2019-11-15,8705.705078,8484.844727,8730.872070,8491.992188,8491.992188,0
2019-11-18,8573.983398,8273.570313,8653.281250,8309.285156,8309.285156,0
2019-11-19,8305.137695,8099.966797,8408.519531,8206.144531,8206.144531,0
2019-11-20,8203.613281,8010.509277,8237.239258,8027.267090,8027.267090,0
2019-11-21,8023.647461,7597.381348,8110.095703,7642.748047,7642.748047,0
2019-11-22,7643.570801,6936.708008,7697.381836,7296.574707,7296.574707,0
2019-11-25,7039.978027,6617.165527,7319.856445,7146.134277,7146.134277,0
2019-11-26,7145.159180,7098.572266,7320.231445,7218.371582,7218.371582,0
2019-11-27,7220.878418,6974.176758,7619.691406,7531.663574,7531.663574,0
2019-11-28,7536.816895,7454.119629,7730.072266,7463.104492,7463.104492,0
2019-11-29,7466.726074,7460.754883,7781.181152,7761.245117,7761.245117,0
2019-12-02,7424.037109,7233.398438,7474.819336,7321.989258,7321.989258,0
2019-12-03,7323.973633,7229.355957,7418.859863,7320.145508,7320.145508,0
2019-12-04,7320.124512,7170.921387,7539.784180,7252.036133,7252.036133,0
2019-12-05,7253.241211,7232.676758,7743.432129,7448.306641,7448.306641,0
2019-12-06,7450.559570,7392.174316,7546.999023,7546.999023,7546.999023,0
2019-12-09,7561.796875,7365.983398,7618.089844,7400.900391,7400.900391,0
2019-12-10,7397.133789,7246.045898,7424.020996,7278.120605,7278.120605,0
2019-12-11,7277.199707,7195.528320,7324.156250,7217.428711,7217.428711,0
2019-12-12,7216.741211,7164.740723,7266.638672,7243.132813,7243.132813,0
2019-12-13,7244.660156,7227.120117,7293.562988,7269.682129,7269.682129,0
2019-12-16,7153.664063,6903.684082,7171.168457,6932.481445,6932.481445,0
2019-12-17,6931.313477,6587.975586,6964.074707,6640.516602,6640.516602,0
2019-12-18,6647.698730,6540.051270,7324.982422,7276.802246,7276.802246,0
2019-12-19,7277.591309,7041.380859,7346.604492,7202.846680,7202.846680,0
2019-12-20,7208.635742,7086.123047,7257.920898,7218.814453,7218.814453,0
2019-12-23,7508.899902,7326.195313,7656.176758,7355.629395,7355.629395,0
2019-12-24,7354.390625,7269.528320,7535.715332,7322.530762,7322.530762,0
2019-12-25,7325.754883,7220.993164,7357.020508,7275.155762,7275.155762,0
2019-12-26,7274.801270,7200.388184,7388.302246,7238.964844,7238.964844,0
2019-12-27,7238.142090,7189.935547,7363.531738,7290.091309,7290.091309,0
