"Date","Price","Open","High","Low","Change %"
"Apr 10, 2020","7.0320","7.0475","7.0483","7.0275","-0.15"
"Apr 09, 2020","7.0428","7.0645","7.0743","7.0335","-0.27"
"Apr 08, 2020","7.0620","7.0621","7.0738","7.0575","0.27"
"Apr 07, 2020","7.0428","7.0870","7.0873","7.0447","-0.70"
"Apr 06, 2020","7.0927","7.0927","7.0927","7.0927","0.03"
"Apr 03, 2020","7.0908","7.0887","7.0994","7.0802","0.12"
"Apr 02, 2020","7.0820","7.1165","7.1283","7.0840","-0.24"
"Apr 01, 2020","7.0989","7.0825","7.1088","7.0798","0.26"
"Mar 31, 2020","7.0808","7.0965","7.1019","7.0803","-0.25"
"Mar 30, 2020","7.0986","7.0963","7.1051","7.0872","0.06"
"Mar 27, 2020","7.0942","7.0630","7.0998","7.0557","0.33"
"Mar 26, 2020","7.0709","7.0949","7.1220","7.0686","-0.55"
"Mar 25, 2020","7.1099","7.0631","7.1180","7.0490","0.69"
"Mar 24, 2020","7.0610","7.0870","7.0928","7.0572","-0.41"
"Mar 23, 2020","7.0900","7.0997","7.1232","7.0788","-0.07"
"Mar 20, 2020","7.0950","7.1075","7.1076","7.0502","-0.15"
"Mar 19, 2020","7.1058","7.0474","7.1270","7.0474","0.85"
"Mar 18, 2020","7.0459","7.0203","7.0497","7.0051","0.57"
"Mar 17, 2020","7.0058","6.9938","7.0256","6.9864","0.21"
"Mar 16, 2020","6.9913","7.0025","7.0258","6.9897","-0.18"
"Mar 13, 2020","7.0036","7.0286","7.0344","6.9752","-0.35"
"Mar 12, 2020","7.0282","6.9605","7.0370","6.9605","0.98"
"Mar 11, 2020","6.9599","6.9615","6.9662","6.9448","0.07"
"Mar 10, 2020","6.9549","6.9402","6.9622","6.9292","0.15"
"Mar 09, 2020","6.9448","6.9106","6.9556","6.9094","0.22"
"Mar 06, 2020","6.9298","6.9429","6.9602","6.9252","-0.10"
"Mar 05, 2020","6.9366","6.9378","6.9462","6.9316","0.18"
"Mar 04, 2020","6.9244","6.9417","6.9517","6.9219","-0.48"
"Mar 03, 2020","6.9579","6.9609","6.9851","6.9590","-0.02"
"Mar 02, 2020","6.9595","6.9742","6.9772","6.9524","-0.44"
"Feb 28, 2020","6.9906","7.0036","7.0129","6.9802","-0.19"
"Feb 27, 2020","7.0036","7.0159","7.0225","7.0026","-0.25"
"Feb 26, 2020","7.0214","7.0135","7.0272","7.0135","0.12"
"Feb 25, 2020","7.0128","7.0118","7.0216","7.0086","-0.22"
"Feb 24, 2020","7.0286","7.0405","7.0416","7.0258","0.04"
"Feb 21, 2020","7.0255","7.0309","7.0434","7.0264","0.04"
"Feb 20, 2020","7.0225","7.0083","7.0269","7.0035","0.36"
"Feb 19, 2020","6.9975","7.0069","7.0138","6.9889","0.04"
"Feb 18, 2020","6.9949","6.9847","7.0075","6.9844","0.20"
"Feb 17, 2020","6.9806","6.9814","6.9842","6.9722","-0.08"
"Feb 14, 2020","6.9859","6.9774","6.9884","6.9759","0.14"
"Feb 13, 2020","6.9759","6.9775","6.9871","6.9736","0.07"
"Feb 12, 2020","6.9708","6.9695","6.9773","6.9585","0.08"
"Feb 11, 2020","6.9650","6.9844","6.9844","6.9618","-0.24"
"Feb 10, 2020","6.9820","7.0013","7.0031","6.9763","-0.26"
"Feb 07, 2020","7.0003","6.9783","7.0043","6.9760","0.44"
"Feb 06, 2020","6.9694","6.9769","6.9829","6.9576","-0.04"
"Feb 05, 2020","6.9720","7.0010","7.0082","6.9686","-0.37"
"Feb 04, 2020","6.9979","7.0255","7.0255","6.9878","-0.33"
"Feb 03, 2020","7.0208","6.9366","7.0278","6.9366","1.21"
"Jan 31, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 30, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 29, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 28, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 27, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 24, 2020","6.9367","6.9367","6.9367","6.9367","0.00"
"Jan 23, 2020","6.9364","6.9090","6.9366","6.9082","0.47"
"Jan 22, 2020","6.9040","6.9089","6.9179","6.8970","-0.01"
"Jan 21, 2020","6.9049","6.8770","6.9096","6.8767","0.56"
"Jan 20, 2020","6.8664","6.8640","6.8678","6.8403","0.11"
"Jan 17, 2020","6.8589","6.8779","6.8797","6.8528","-0.26"
"Jan 16, 2020","6.8769","6.8845","6.8927","6.8747","-0.19"
"Jan 15, 2020","6.8899","6.8936","6.8988","6.8839","0.09"
"Jan 14, 2020","6.8837","6.8773","6.8900","6.8662","-0.13"
