"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2022","22,844,844","22,853,804","23,295,000","22,416,100","0.02K","-0.04%"
"Mar 14, 2022","22,853,804","21,914,636","23,300,000","21,814,868","0.02K","4.29%"
"Mar 13, 2022","21,914,636","22,410,804","22,719,072","21,825,000","0.01K","-2.21%"
"Mar 12, 2022","22,410,804","22,560,000","22,850,000","22,410,804","0.02K","-0.66%"
"Mar 11, 2022","22,560,000","22,744,808","23,198,768","22,460,080","0.02K","-0.81%"
"Mar 10, 2022","22,744,808","24,158,046","24,196,320","22,404,980","0.02K","-5.85%"
"Mar 09, 2022","24,158,046","22,304,056","24,550,000","22,304,056","0.03K","8.31%"
"Mar 08, 2022","22,304,056","22,080,154","22,750,000","22,000,002","0.02K","1.01%"
"Mar 07, 2022","22,080,154","22,075,004","22,629,996","21,610,422","0.02K","0.02%"
"Mar 06, 2022","22,075,004","22,486,812","22,890,000","22,002,128","0.01K","-1.83%"
"Mar 05, 2022","22,486,812","22,698,072","22,890,000","22,105,100","0.02K","-0.90%"
"Mar 04, 2022","22,689,990","24,380,000","24,420,000","22,500,000","0.02K","-6.93%"
"Mar 03, 2022","24,380,000","25,312,720","25,312,720","23,821,032","0.02K","-3.68%"
"Mar 02, 2022","25,312,720","25,500,000","26,323,004","24,725,000","0.02K","-0.73%"
"Mar 01, 2022","25,500,000","24,338,092","25,500,000","23,817,528","0.03K","4.29%"
"Feb 28, 2022","24,450,666","22,041,002","25,000,000","21,825,000","0.02K","10.93%"
"Feb 27, 2022","22,041,002","22,350,000","22,990,056","21,606,000","0.01K","-1.38%"
"Feb 26, 2022","22,350,000","22,315,024","22,905,020","22,115,272","0.02K","0.16%"
"Feb 25, 2022","22,315,024","22,000,212","23,550,000","21,250,688","0.02K","1.43%"
"Feb 24, 2022","22,000,212","21,600,110","22,979,988","19,840,004","0.03K","1.85%"
"Feb 23, 2022","21,600,110","22,189,996","22,728,112","21,522,908","0.02K","-2.66%"
"Feb 22, 2022","22,189,996","21,455,228","22,200,000","21,155,000","0.02K","3.21%"
"Feb 21, 2022","21,499,000","22,302,000","22,889,956","21,301,100","0.02K","-3.60%"
"Feb 20, 2022","22,302,000","23,006,900","23,070,000","21,905,024","0.01K","-3.06%"
"Feb 19, 2022","23,006,900","23,080,008","23,305,014","22,252,256","0.01K","-0.32%"
"Feb 18, 2022","23,080,008","23,540,000","23,809,988","22,848,530","0.02K","-1.95%"
"Feb 17, 2022","23,540,000","25,156,002","25,321,290","23,311,334","0.02K","-6.42%"
"Feb 16, 2022","25,156,002","25,472,336","25,550,000","24,900,010","0.01K","-1.24%"
"Feb 15, 2022","25,472,336","24,312,000","25,540,000","24,311,004","0.02K","4.77%"
"Feb 14, 2022","24,312,000","24,106,810","24,500,000","23,801,000","0.02K","0.85%"
"Feb 13, 2022","24,106,810","24,120,000","24,508,880","24,001,508","0.01K","-0.05%"
"Feb 12, 2022","24,120,000","24,399,634","24,655,000","23,800,000","0.01K","-1.15%"
"Feb 11, 2022","24,399,634","25,091,000","25,349,988","24,138,100","0.02K","-2.76%"
"Feb 10, 2022","25,091,000","25,310,000","25,939,990","24,604,100","0.02K","-0.87%"
"Feb 09, 2022","25,310,000","25,203,100","25,790,000","24,358,000","0.02K","0.42%"
"Feb 08, 2022","25,203,100","25,108,554","26,000,000","24,103,012","0.02K","0.38%"
"Feb 07, 2022","25,108,554","24,339,308","25,500,000","23,782,000","0.02K","3.16%"
"Feb 06, 2022","24,339,308","23,460,000","24,400,000","23,400,000","0.01K","3.75%"
"Feb 05, 2022","23,460,000","23,620,000","24,600,000","22,501,492","0.01K","-0.68%"
"Feb 04, 2022","23,620,000","20,911,000","23,681,812","20,860,100","0.02K","12.95%"
"Feb 03, 2022","20,911,000","21,059,164","21,319,900","20,604,000","0.01K","-0.70%"
"Feb 02, 2022","21,059,164","21,900,000","22,099,288","20,821,000","0.01K","-3.84%"
"Feb 01, 2022","21,900,000","21,570,000","22,200,112","21,218,080","0.02K","1.53%"
"Jan 31, 2022","21,570,000","21,680,000","21,890,990","20,951,308","0.01K","-0.51%"
"Jan 30, 2022","21,680,000","21,799,900","21,950,000","21,400,008","0.01K","-0.55%"
"Jan 29, 2022","21,799,900","21,627,800","22,095,296","21,300,000","0.02K","0.80%"
"Jan 28, 2022","21,627,800","21,139,700","21,709,224","20,920,000","0.02K","2.31%"
"Jan 27, 2022","21,139,700","21,239,992","21,499,988","20,521,000","0.02K","-0.47%"
"Jan 26, 2022","21,239,992","21,300,000","22,321,000","20,871,008","0.02K","-0.28%"
"Jan 25, 2022","21,300,000","21,033,020","21,700,660","20,700,000","0.01K","1.27%"
"Jan 24, 2022","21,033,020","20,799,000","21,298,000","18,120,222","0.02K","1.13%"
"Jan 23, 2022","20,799,000","20,329,992","21,000,000","19,920,300","0.01K","2.31%"
"Jan 22, 2022","20,329,992","20,776,892","21,360,000","18,502,604","0.02K","-2.15%"
"Jan 21, 2022","20,776,892","23,589,086","23,719,000","20,188,900","0.02K","-11.92%"
"Jan 20, 2022","23,589,086","23,730,000","24,775,000","23,301,356","0.01K","-0.59%"
"Jan 19, 2022","23,730,000","24,145,008","24,290,948","23,101,004","0.01K","-1.72%"
"Jan 18, 2022","24,145,008","23,862,788","24,325,880","23,500,000","0.01K","1.18%"
"Jan 17, 2022","23,862,788","24,228,000","24,449,990","23,555,028","0.01K","-1.51%"
"Jan 16, 2022","24,228,000","24,319,260","24,580,998","24,068,400","0.01K","-0.38%"
"Jan 15, 2022","24,319,260","24,364,988","24,899,990","23,850,004","0.01K","-0.19%"
"Jan 14, 2022","24,364,988","24,350,100","24,973,256","23,701,000","0.01K","-0.06%"
"Jan 13, 2022","24,380,000","25,135,512","25,300,000","24,178,000","0.01K","-3.01%"
"Jan 12, 2022","25,135,512","24,110,520","25,528,000","23,950,066","0.01K","4.25%"
"Jan 11, 2022","24,110,520","23,616,990","25,350,556","23,400,000","0.01K","2.09%"
"Jan 10, 2022","23,616,990","23,880,000","24,199,004","22,000,032","0.01K","-1.10%"
"Jan 09, 2022","23,880,000","23,685,098","24,199,004","23,258,000","0.01K","0.82%"
"Jan 08, 2022","23,685,098","23,330,000","24,000,000","22,602,508","0.01K","1.52%"
"Jan 07, 2022","23,330,000","24,186,198","24,372,896","16,500,333","0.02K","-3.54%"
"Jan 06, 2022","24,186,198","25,173,000","25,173,000","23,100,000","0.01K","-3.92%"
"Jan 05, 2022","25,173,000","25,750,000","26,200,000","24,385,000","0.01K","-2.24%"
"Jan 04, 2022","25,750,000","25,780,200","26,495,000","25,000,000","0.01K","-0.12%"
"Jan 03, 2022","25,780,200","26,319,000","26,596,000","25,553,000","0.01K","-2.05%"
"Jan 02, 2022","26,319,000","26,300,620","26,700,000","25,825,000","0.00K","0.07%"
"Jan 01, 2022","26,300,620","25,730,000","26,731,998","25,553,000","0.00K","2.22%"
"Dec 31, 2021","25,730,000","26,500,500","27,269,000","25,501,000","0.01K","-2.91%"
"Dec 30, 2021","26,500,500","25,968,104","27,597,900","25,660,000","0.01K","2.05%"
"Dec 29, 2021","25,968,104","26,779,980","26,978,000","25,750,166","0.01K","-3.03%"
"Dec 28, 2021","26,779,980","28,419,994","28,535,000","26,404,008","0.01K","-5.77%"
"Dec 27, 2021","28,419,994","28,415,150","28,999,990","28,208,594","0.01K","0.02%"
"Dec 26, 2021","28,415,150","28,398,988","28,599,000","27,766,166","0.00K","0.06%"
"Dec 25, 2021","28,398,988","28,075,100","28,420,044","28,055,012","0.01K","1.15%"
"Dec 24, 2021","28,075,100","28,110,000","28,800,000","27,011,000","0.01K","-0.12%"
"Dec 23, 2021","28,110,000","27,193,400","29,243,764","27,010,000","0.01K","3.37%"
"Dec 22, 2021","27,193,400","27,199,996","27,539,898","27,001,356","0.01K","-0.02%"
"Dec 21, 2021","27,199,996","26,490,000","27,680,000","26,331,800","0.01K","2.68%"
"Dec 20, 2021","26,490,000","26,250,000","26,764,990","25,650,000","0.01K","0.91%"
"Dec 19, 2021","26,250,000","26,040,600","26,900,000","25,851,002","0.01K","0.80%"
"Dec 18, 2021","26,040,600","24,100,000","26,980,000","23,630,556","0.01K","8.05%"
"Dec 17, 2021","24,100,000","26,699,996","27,209,000","23,555,232","0.01K","-9.74%"
"Dec 16, 2021","26,699,996","27,231,056","27,435,330","26,201,000","0.01K","-1.95%"
"Dec 15, 2021","27,231,056","27,118,598","27,600,000","26,605,668","0.01K","0.41%"
"Dec 14, 2021","27,118,598","26,033,780","27,420,000","26,000,100","0.01K","4.17%"
"Dec 13, 2021","26,033,780","28,175,996","28,279,000","26,000,052","0.01K","-7.60%"
"Dec 12, 2021","28,175,996","27,594,402","28,690,000","27,170,000","0.01K","2.11%"
"Dec 11, 2021","27,594,402","26,690,000","27,600,000","26,581,008","0.01K","3.39%"
"Dec 10, 2021","26,690,000","27,135,392","28,110,008","26,501,852","0.01K","-1.64%"
"Dec 09, 2021","27,135,392","28,189,966","28,385,000","27,000,000","0.01K","-3.74%"
"Dec 08, 2021","28,189,966","29,137,798","29,137,798","27,102,000","0.01K","-3.25%"
"Dec 07, 2021","29,137,798","29,296,600","31,200,000","28,300,008","0.01K","-0.54%"
"Dec 06, 2021","29,296,600","28,464,184","29,700,000","27,277,740","0.01K","2.92%"
"Dec 05, 2021","28,464,184","28,600,000","31,000,000","27,500,008","0.01K","-0.47%"
"Dec 04, 2021","28,600,000","30,639,998","31,140,960","26,000,030","0.02K","-6.66%"
"Dec 03, 2021","30,639,998","32,049,988","32,224,822","30,501,050","0.01K","-4.40%"
"Dec 02, 2021","32,049,988","32,329,008","32,750,000","32,000,012","0.01K","-0.86%"
"Dec 01, 2021","32,329,008","32,340,000","33,122,000","32,001,600","0.01K","-0.03%"
"Nov 30, 2021","32,340,000","33,000,106","33,500,000","31,800,000","0.01K","-2.00%"
"Nov 29, 2021","33,000,106","32,949,000","33,500,000","32,521,900","0.01K","0.16%"
"Nov 28, 2021","32,949,000","32,168,000","32,990,000","31,700,000","0.01K","2.43%"
"Nov 27, 2021","32,168,000","32,145,000","32,609,000","31,972,056","0.01K","0.07%"
"Nov 26, 2021","32,145,000","33,315,004","33,439,000","30,501,100","0.02K","-3.51%"
"Nov 25, 2021","33,315,004","32,367,304","33,440,000","32,334,988","0.01K","2.93%"
"Nov 24, 2021","32,367,304","32,515,000","32,746,900","32,334,988","0.01K","-0.45%"
"Nov 23, 2021","32,515,000","31,770,000","32,750,000","31,700,108","0.01K","2.34%"
"Nov 22, 2021","31,770,000","33,539,996","33,578,000","30,500,000","0.01K","-5.28%"
"Nov 21, 2021","33,539,996","34,288,000","34,288,000","33,100,012","0.01K","-2.18%"
"Nov 20, 2021","34,288,000","32,424,000","34,499,900","32,180,008","0.01K","5.75%"
"Nov 19, 2021","32,424,000","31,508,152","32,980,000","31,508,152","0.01K","2.91%"
"Nov 18, 2021","31,508,152","33,250,004","33,971,000","31,500,854","0.01K","-5.24%"
"Nov 17, 2021","33,250,004","33,899,920","34,169,000","33,122,000","0.01K","-1.92%"
"Nov 16, 2021","33,899,920","35,688,000","35,873,000","32,610,000","0.02K","-5.01%"
"Nov 15, 2021","35,688,000","41,560,000","42,099,592","35,500,600","0.02K","-14.13%"
"Nov 14, 2021","41,560,000","42,004,088","42,300,000","41,500,000","0.00K","-1.06%"
